fen
4rrk1/ppb3pp/2pqp3/5p2/3P1P1n/2PB4/PPQBR1PP/R5K1 w - - 1 25
r1b1k2r/ppp2pp1/1b3qnp/3Pp2Q/2B1Pp1P/2P2N2/PP4P1/R1B1K2R w KQkq - 6 13
rn3rk1/1bq2pp1/2pNp2p/pp1nP1N1/3P4/P2B4/1P1Q1PPP/R1R3K1 w - - 0 18
1k1r1b1r/1pp1pp1p/p4p2/3Pn3/P5q1/2N5/2PQ1PPP/R4RK1 b - - 0 15
r4rk1/ppp1b1pR/5pq1/8/4NQ2/1P1PBK2/2P5/7R b - - 0 24
r1b1q3/pp1n1pk1/2p1p3/2Pp2n1/3P1P2/2PQP1R1/P5PP/R5K1 w - - 0 19
2k2nrr/4bpq1/p1p1p1p1/Pp1pP3/1P1P1PP1/2P2N2/1BK3Q1/6RR w - - 9 26
r1bq1rk1/1pp2pp1/p1np1n1p/2bNpPNP/2B1P3/3P4/PPP3P1/R1BQK2R w KQ - 0 12
r2qk2r/pp3pp1/1n5p/4pP2/3pp1Pb/P2P3P/1PP1N1K1/R1BQ3R w kq - 0 17
rnbq1r1k/2p2pp1/1p6/3p1p2/3P4/2P1PN2/P3QPPP/R1B1K2R w KQ - 0 14
2kr3r/pbpn1p1p/1p3p2/8/1q1pP1B1/3P1NQP/P3KPP1/R1R5 b - - 9 18
r3kb1r/p2n1ppp/1p2pn2/2p5/2P5/2NP1N2/PP3PPP/R1B2RK1 b kq - 2 13
3r1rk1/p2nq1pp/1p2pp2/4P3/3P4/3B1Q1P/P4PP1/3R1RK1 w - - 0 17
2b2rk1/r3bpp1/p3p2p/1ppq4/3PQ3/1P2PN2/PB3PPP/R2R2K1 w - - 3 17
4rrk1/1p1q1p1n/p2pb3/2p3pN/6P1/3P2QP/PPP3B1/4RRK1 b - - 1 24
r5k1/2pbq1bp/3p2p1/p2Pp3/1pP1B3/1P2P1Q1/P5PP/3N1RK1 w - - 0 22
2rr2k1/1b3pp1/p2Pp2p/1q2P1b1/2p1p3/2QnB1NP/PP3PP1/1R1R1NK1 w - - 3 27
2r2rk1/2qb1ppp/2nb1p2/1pp5/3p4/P2P1NPP/1P1BPPB1/2RQ1RK1 w - - 1 15
3k3b/pp3p2/2p3b1/4n1N1/1qBQ1BP1/8/PPP5/1K6 b - - 1 24
r2q1rk1/1p1n1ppn/p1p1p2p/2PpP1b1/PP1P4/2NB1Q2/5PPP/R1B2RK1 b - - 2 16
r3k2r/2pqppbp/1p1p1np1/p7/1nPPP1b1/1QN1BN2/PP2BPPP/R4RK1 w kq - 0 11
3r1b1r/ppknp1p1/2p3Bp/8/3P3R/2K2P2/PPP3P1/R7 b - - 0 20
2r3k1/pp1Rbppp/2n3q1/8/2Q5/5NB1/PP3PPP/2K5 b - - 7 23
r4rk1/p4pp1/b1n4p/1p2P3/2pPNP2/2P1B3/P3K2P/R4R2 w - - 2 22
r1b2rk1/pp3pp1/1q5p/2bp4/3nn2B/1P3N2/P1P1BPPP/RN1Q1RK1 w - - 3 14
r1bk3b/pp1pnQ1p/1qn3p1/1N2p3/2B1P3/8/PPP2PPP/R1B1K2R b KQ - 5 13
8/2k2ppp/1p2b3/p1p1n3/2P5/P1N2P2/1P1K2PP/5B2 w - - 0 26
4rrk1/p2n2p1/2pbbnq1/3p4/3Pp2p/P1N1B2P/2P1BPP1/R2QRN1K w - - 0 19
5rk1/pp3pp1/7p/5b2/5B2/3P3P/PP4P1/4R2K w - - 1 22
r2qkb1r/ppp2ppp/5n2/4p3/2P5/1PN2b2/PBnPNK1P/R4BR1 b kq - 1 11
4rr2/pp3pk1/3p2p1/2p4p/8/1P3RPP/P1P2PK1/R7 b - - 0 26
rnb2rk1/pp1p1p1p/2p5/4p2P/2B1P1n1/3P1P2/PPP3P1/RN1K1R2 b - - 0 14
r4rk1/2p1bppp/p1nq1n2/1p1p2Bb/3P4/P1PB1N1P/1PQN1PP1/4RRK1 w - - 3 16
