puzzle_id,fen,mating_moves,rating
tUBfU,r1b1k2r/pp1p1ppp/2p3n1/2N1PN2/2B2Pnq/4B3/PPP3PP/R2Q1RK1 b kq - 2 13,h4h2,1340
4eg8v,r3kb1r/pp3ppp/2n1pq2/8/2B1pPb1/4B3/PPPQN1PP/2KR3R w kq - 0 13,d2d7,978
Orsa1,8/4r1k1/1p5p/p1p1q3/P2p1Q2/1P1P1R2/1P3KPP/8 b - - 0 36,e5e1,1329
Bh7SV,r2qkbnr/1pp1ppp1/p2p3p/4N3/2B1P3/2NPB3/PPP2PPP/R2bK2R w KQkq - 0 8,c4f7,1255
I5eP9,rn3rk1/pp3p1p/2p2Qp1/1q2pN1n/2R1P3/1B3P2/P4P1P/5KR1 w - - 8 21,f5e7 f5h6,1217
aFgnx,2Q5/p7/8/8/8/P4K2/7k/6q1 w - - 1 58,c8h8,996
8cooT,1r1q2k1/pbp2p2/1pn2bNQ/3rp3/8/8/PPP2PP1/2KR3R w - - 0 21,h6h7,1563
wfpJ0,r3r1k1/ppq2pp1/2nb1n1p/3p3N/2pP4/2P2Q1P/PPB2PP1/R1B1R1K1 b - - 2 16,e8e1,1373
DEf5s,r2q1rk1/1pp3p1/2n5/p7/8/2B1n3/PPPNb2R/2K3R1 w - - 0 22,g1g7,848
2gX10,r2q1rk1/3nbppp/1p2p3/p2pP3/3P4/5N2/PPQB1PPP/1BR2bK1 w - - 0 17,c2h7,757
dJH9Q,r2kr3/pp1n1ppp/3B1bq1/2pp3n/8/6P1/P1PNQP1P/R3R1K1 w - - 3 20,e2e8,520
KOPq4,3r3r/8/5Q2/3q1p1k/5P2/6P1/P6P/5RK1 w - - 0 36,f6g5,1081
9j2kc,Q4b1k/p6p/3p2p1/2p5/2P3R1/1P4KP/P5P1/4r1q1 w - - 6 42,a8f8,595
dtX3g,5bnr/1Qpqkpp1/7p/1NpPp3/4P3/4Bn2/PP3P2/R4R1K b - - 1 19,d7h3,495
yweuD,4k3/p2r2p1/R3K2p/4P2P/5N2/P4nP1/8/8 b - - 2 45,f3d4,1740
lHf2u,1r1r3k/1b4p1/7p/1p4q1/pB3p2/P4P1P/2Qpp1P1/RB3RK1 w - - 0 37,c2h7,1354
AqNSV,3r1b1r/4qp2/k7/p2nP1N1/2p3QP/2P1B1N1/P4K2/1R6 w - - 0 30,g4c4,1191
j0TSU,1k4r1/p1p5/Bp6/8/8/1P1nR3/P6P/2R4K b - - 0 29,d3f2,1035
K3Sy8,r4rk1/1b2np1p/p2p1QpB/1pq5/4P1n1/2NB4/PPP4P/R4R1K w - - 0 18,f6g7,779
DtKU6,2r3k1/1b3ppp/p1q5/1p2p3/1PrP4/P1PQ3P/2R1NPP1/2R3K1 b - - 0 30,c6g2,810
sppSD,r1b3k1/pp3ppp/6q1/2p5/4P3/PP3N2/5PPP/2QR2K1 w - - 2 21,d1d8,803
lCEYh,r5k1/1p3r1p/p2p3R/8/3pP1q1/1Q6/PPP2PP1/1K1R4 b - - 0 23,g4d1,441
A6RbB,6k1/5ppp/q7/8/8/P1P5/1PQR1bPP/4N2K b - - 0 39,a6f1,783
ePiBB,8/p4p2/6kp/4ppR1/2p2b1K/2P2P1B/PP5P/8 b - - 0 32,h6g5,1186
pkIRR,5kr1/8/4Q2p/1p6/2nq4/P3RP2/1P4PP/6K1 w - - 0 40,e6e7,1479
HX9dH,r4b1r/pppk1ppp/4p3/4PN2/2P2Pn1/3p1N2/PPnP2PP/1RBK1B1R b - - 0 13,g4f2,1242
Y5rtW,r1b2rk1/p1b2p1p/2pqp1pQ/3n4/8/2NB3P/PPPB1PP1/R4RK1 b - - 3 14,d6h2,554
GLVwg,7k/4R2p/4p1pP/4r3/6p1/6K1/8/8 w - - 0 44,e7e8,1129
0kGYa,2r5/bRrk4/2n2p1p/P2pP2P/8/3K4/3BN1P1/1R6 b - - 0 33,c6e5,1072
hfnYG,4kbnr/2p2p1p/4b3/6B1/8/6P1/2p1PP1P/1N1R2K1 w k - 0 21,d1d8,693
NAm8o,8/ppp2r1k/6r1/8/6b1/1N2b1B1/PPPR2PP/5R1K b - - 1 28,f7f1,653
ptmmS,r2qnrk1/1b1nb1p1/p3p1P1/1p1pp2Q/2pP1P2/2P1P3/PP1N3P/R1B2RK1 w - - 0 17,h5h7,1318
TnlJQ,2k3r1/pp1r3p/4B3/2p1Bp1b/8/2PP1P2/Pq4PP/R3QR1K b - - 0 21,b2g2,820
RhMSE,1b1r2k1/5ppp/p1r5/1p6/4PP2/7P/PPP3P1/2KR3R w - - 0 24,d1d8,399
DNnpS,r2qkb1r/1b1npppp/p1np4/1p1Q4/4P3/1B3N2/PPP2PPP/RNB2RK1 w kq - 4 10,d5f7,582
A2eeE,3R4/5pp1/4b2k/7p/5N1P/5PK1/1r4P1/8 w - - 4 49,d8h8,817
dbRJK,r2r4/2R4p/pp4pk/1N5b/5PP1/7Q/4q2P/2K5 w - - 0 37,g4g5,1162
p2hjD,8/5k2/8/1p1Pq3/8/6RK/3N2P1/1N6 b - - 0 42,e5h5,1061
NHWzM,1k6/pb6/1p3P2/4p2r/1P3q2/P3Q1R1/8/4R1K1 b - - 5 37,h5h1,1224
TY0tU,8/5kp1/7p/3R4/8/1P1p3P/2r2PP1/5K2 b - - 1 44,c2c1,535
5StoL,1k1r1r2/2p5/p1p5/4P2p/1P4p1/P1Q5/6PP/5R1K b - - 0 31,f8f1,668
9gNUU,r7/pp3kpp/6q1/2Q5/3pb3/2p5/P4PPP/RNB3K1 b - - 0 20,g6g2,434
Mwl0R,1R6/5p2/2k2p1p/2p2P2/1pKp2P1/r2P3P/2PN4/8 b - - 3 37,a3c3,703
1wFis,7r/pp4k1/3p4/3P2pn/2P5/PP3RP1/5P1K/6R1 b - - 0 28,h5f4,1100
NCBEW,3rknR1/p2b1r2/1p1Bp3/4P3/6QP/2P5/P1q2PP1/3RK3 b - - 3 28,c2f2,1169
rpT5r,3r3k/p5bp/1p4p1/1P3p2/P3p3/8/Q4PPP/2B3K1 b - - 0 30,d8d1,606
eY0Gv,2Nr2k1/1p4pp/2p1pb2/8/1pB5/8/rPP1RPPP/2K1R3 b - - 1 23,a2a1,1050
EcYx6,r1k2r2/ppp3p1/8/3Q3p/3P2P1/6q1/PPPB1bP1/R4R1K b - - 0 22,g3h4,1152
dLkcc,2kr1b1r/ppp1pppp/4b3/8/3q1B2/2QB1P2/PPP2P1P/2KRR3 w - - 7 14,c3c7,839
JcAyr,2r2rk1/4Rpp1/3p2qp/pp1P4/5P2/4RQB1/PPP3PP/2K5 b - - 0 26,g6c2,723
WZRV6,r4r1k/2pq1ppp/pn1p3N/1p1Pp3/4Pn2/1PP1BP1P/P1BQ1P1K/R5R1 b - - 0 21,d7h3,529
q8ig8,5rk1/p7/1p1p4/2p3p1/1PP1P1R1/P4qPK/1R1n4/7Q b - - 4 30,f3h1,860
XK7qa,r5k1/5p1p/4b1pP/2q3P1/4P3/3B4/1QP1K3/8 w - - 13 43,b2g7,1147
mh2hJ,4r1k1/3Q1pp1/p6p/8/2pP1b2/8/PqB2PPP/6K1 w - - 0 25,d7e8,626
xBxsD,6rk/p2Q4/1pp1Pr1p/8/P7/3B1pqP/1PP3P1/5R1K w - - 2 37,d7h7,608
UdaLH,4R3/r7/6p1/2pNbk2/2P1p1pP/4PP1K/8/8 w - - 0 39,f3g4,710
zNyPH,6k1/p2R1pp1/2r4p/4pQ2/6P1/7P/q4P2/6K1 w - - 0 30,d7d8,1196
Zmm37,3r4/1pR1Qpk1/p5p1/7p/P2q4/1P4PP/5P1K/2Rr4 b - - 8 39,d4f2,1450
QRihh,6r1/pr3p1k/3p2R1/2p4p/8/q1PPB3/P1PK4/6R1 w - - 0 25,g6h6,1441
zyNDM,r4rk1/1pp2pbp/p1bp1qpB/7n/4P1PP/5P2/PPPQN3/2KR1B1R b - - 0 14,f6b2,951
ZgN1Q,1r3rk1/5p1p/6p1/2pQ4/p3nP2/N3P3/PP2q1PP/K1RR4 b - - 0 30,e2b2,906
EBTNa,4r3/ppp1q1kp/2nb1np1/3N2B1/7Q/1P1P4/1PP2PPP/4RK1R b - - 0 18,e7e1,590
ddBj5,2r5/5R2/8/1p6/3Pk3/1P2np2/3K4/4R3 b - - 0 60,c8c2,866
KCVIK,r3r1k1/ppp2p1p/6p1/4P3/4Q3/2P1PpPq/PP5P/3RR1K1 b - - 0 21,h3g2,879
ipFIm,8/p7/4Rp2/1pN2k2/1P1p4/P7/3r2pr/4R1K1 b - - 1 51,h2h1,709
nQJ1e,5rk1/5ppp/Q7/1N6/P7/5P1n/6PP/6RK b - - 0 32,h3f2,949
