puzzle_id,fen,key_moves,mate_in,rating
r3UrZ,2k3r1/1b1p1R2/p1p1p3/8/8/8/P2QK1Pq/8 w - - 0 33,d2d7,2,926
TUtzz,8/7p/p5pk/2PR4/6Pn/1PQ1P2P/P4K2/3R3q b - - 0 34,h1g2,2,1414
vMJnF,r1b2rk1/ppp2pp1/6n1/2bp4/4Q3/3P1N2/Pq1NK1PR/7R w - - 0 18,h2h8,2,1313
bSIZj,4k3/1p5R/3p2p1/1P2p1B1/2P1P3/3r3P/5bPK/8 b - - 2 32,f2g3,2,814
9tc5b,2kr3B/1pp2p1p/p2b4/7q/2Q3R1/1N4p1/PPP2P2/R5K1 b - - 0 24,h5h2,2,1169
Tg67f,r2b3r/1ppk1ppp/p2p4/8/1n1N4/3P1B2/PP3PPP/2KRR3 w - - 4 19,f3g4,2,1024
hrYgn,8/p4rpk/7p/3Q4/2P1P3/4q1P1/P2R3P/7K b - - 3 35,e3e1,2,2061
GB6UC,2r5/pp5k/6p1/3Nbp1p/8/1P2P2P/P2R1PP1/7K b - - 2 35,c8c1,2,777
Yyj5z,5rk1/pQ3ppp/1q3b2/2p5/2B5/8/P4PPP/4R1K1 w - - 1 22,b7f7,2,1614
5Z3Ar,2r5/R5b1/6pk/3RP3/P5p1/B7/1r4PP/6K1 b - - 7 35,c8c1,2,966
TWbGU,3R4/7k/r1b2p1p/1p6/p1p2nP1/4R3/7P/6K1 w - - 0 35,e3e7,2,807
4XgOg,r7/4k2p/2Q1Pp2/1p6/8/q4PP1/3b3P/1K5R w - - 2 30,c6d7,2,1328
4EP0B,r3r3/2p1q2k/1p1p1pRp/3PpP1n/8/2NPP2P/P5QK/8 w - - 2 29,g6h6,2,1292
txlJc,2kr3r/pp3p1p/2pq3b/7R/2Q5/2N5/PPP2PPP/RK6 b - - 2 21,d6d1,2,581
7NeiP,2r2k2/4q2p/1Q4p1/p2P1p2/8/3R4/PP3PPP/2rR2K1 b - - 0 28,e7e1,2,1358
nznp1,3r2k1/1pR2rpp/pR6/8/8/6QP/P4nP1/6K1 b - - 0 29,d8d1,2,1003
TuVIQ,r1b3k1/1pp2ppp/p1p5/8/4r3/1N2b3/PPP2PPP/3R1RK1 w - - 0 14,d1d8,2,466
YtrjN,r2q2k1/pbpp1ppp/1p6/2bNr3/8/P2Q4/1P3PPP/RBB3K1 w - - 0 17,d3h7,2,1080
W083h,6k1/5ppp/7q/8/3r2Q1/7P/3p2P1/7K w - - 0 38,g4c8,2,1092
JI6yt,6k1/5p2/p4B1Q/1p3q2/8/7P/PPr2PP1/6K1 b - - 0 31,f5f2,2,982
YdqBO,7k/5p2/p3pr1p/1p3q2/4Q1R1/PP6/KP4P1/8 w - - 2 35,e4a8,2,984
KWOao,N6r/p2k1p1p/3p1n2/1pb1p3/3nP1b1/2PB2Q1/PP1PNqPP/R1BK3R b - - 4 13,g4e2,2,1341
nfM22,BR6/4kpp1/4p3/p2Pn2p/P3K3/4P1P1/2r2P1P/8 b - - 8 34,c2c4,2,1773
YJefo,5k2/p2Q2pp/6n1/1P6/3Np2P/6PK/5q2/8 w - - 3 32,d4e6,2,1594
UdpdG,1k1r3r/1b6/ppp1Q3/4P3/6R1/2N5/PPPq1PPP/3R2K1 b - - 4 22,d2d1,2,485
