puzzle_id,fen,key_moves,mate_in,rating
sp000562,3r4/6bK/3P2P1/5P2/1p1k4/1q6/p7/r7 b - - 0 44,b3g8,1,0
sp001717,4Q3/8/1kp5/8/8/7R/6q1/3bKBr1 b - - 2 53,g1f1,1,0
sp001799,R7/8/1n2kp2/2p2p2/2P2P1P/5q2/3Kb3/1r6 b - - 37 52,f3d3,1,0
sp000082,8/7K/2p5/5p2/r7/2p5/6q1/4r2k b - - 63 68,a4h4,1,0
sp000387,2k5/1pq5/p1p4K/4b2P/2PP1p2/2R5/8/r4n2 b - - 2 43,c7g7,1,0
sp000412,8/5BR1/1np5/4q3/P1n1p2P/1K6/2pk4/8 b - - 0 53,e5b2,1,0
sp000235,2k5/1p3Bpr/1np4p/p7/4PpPK/R1P5/3r4/Q4R2 b - - 1 23,d2h2,1,0
sp001532,8/5P2/1p6/8/5kq1/p1P1b3/7K/7R b - - 2 43,g4g3,1,0
sp001693,8/4K3/5n2/2p2B1p/7P/5Qp1/8/k3b3 w - - 11 53,f3a3,1,0
sp002630,4R3/2k5/Pp5p/3pPB2/5K2/8/8/1q6 w - - 1 40,e8c8,1,0
sp002636,8/8/8/4q3/2K2b2/4p3/8/3nqrk1 b - - 9 82,e1c3,1,0
sp001736,8/4bp2/5nP1/3kp1K1/P7/1PP5/2Q5/7r b - - 0 36,h1h5,1,0
sp000819,3R1b1r/4kpp1/2Q5/p1pnp3/2P2p2/P4p1P/1P6/2K4R w - - 1 28,d8e8 c6d6,1,0
sp001298,q4rk1/3R3R/8/6p1/4ppP1/P1K2p2/1pP5/8 w - - 0 29,d7g7,1,0
sp003116,Q5RK/4k3/1B6/2PB4/5P2/5Pp1/8/n7 w - - 3 55,a8d8,1,0
sp000501,R7/3P2p1/2Nk1pP1/1P3K2/5P2/8/1p6/6r1 b - - 1 38,b2b1q b2b1b,1,0
sp001605,8/3R4/4K3/b7/8/2p5/7R/5k2 w - - 21 70,d7d1,1,0
sp002454,3RR3/4R3/1p2P3/1P5p/7P/4k1K1/3q4/7r b - - 10 58,d2h2 d2f2,1,0
sp002066,r1k5/ppp1Qp2/7p/8/5B2/P1P1pP2/1P1N2PP/2KR1b1R w - - 1 19,e7e8 e7c7,1,0
sp001881,rn2k2r/1p3pb1/pQp2B1p/8/2P1P3/P2p1P2/1P1Nb1PP/R3KB1R w KQkq - 0 15,b6d8,1,0
sp001871,2r4r/5p1k/pp3P1p/5p2/1PP2P2/1P6/1K1b3P/6R1 w - - 2 29,g1g7,1,0
sp001845,7R/3nk3/p2p1p2/3Pp3/4P1n1/5KP1/PP1b2P1/7R w - - 0 28,h1h7,1,0
sp003201,8/4K3/6Q1/1Q1P1p1p/7P/8/k7/4R3 w - - 4 61,g6a6,1,0
sp001485,2B4k/3P1R2/1pp4p/5K2/3b1N2/3P4/8/q7 w - - 0 39,d7d8q d7d8r,1,0
sp000901,1R5R/3PQ3/p1k2p2/P1p2Bp1/2K3P1/5n2/3N4/8 w - - 3 38,h8c8 e7c5 d7d8n,1,0
sp001624,3Q4/1B3ppk/2p2n1p/4p3/4P3/2P5/5PPP/r3N1K1 b - - 3 22,a1e1,1,0
sp002353,8/8/8/7p/4B2P/6bK/4kq2/1r6 b - - 16 89,f2h2,1,0
sp000598,R5QK/3P1Q2/2PP4/8/8/8/7k/8 w - - 51 108,f7h7 f7h5,1,0
sp002595,3N4/8/5P1p/6p1/5pP1/1Pn4P/3k1K2/7q b - - 2 42,c3e4 c3d1,1,0
sp001387,Q3Q3/8/2K5/5k2/5b2/2P3p1/4q1p1/1q6 b - - 1 56,e2b5 b1b5,1,0
sp000088,R7/2q1b3/p2p2p1/1pp1p1N1/2k1B1n1/P1P2N2/1PQ2PP1/2K5 w - - 2 27,f3d2 b2b3,1,0
sp000768,8/8/4B3/1p1Q1r1p/4p2P/2k3p1/5qP1/1K6 b - - 2 43,f2b2,1,0
sp000139,R2QR3/1B6/2N5/8/8/2P2kpK/8/8 w - - 2 44,d8f6,1,0
